ID,title,artist,top genre,year
362,Dangerous,Jennifer Hudson,dance pop,2015
363,L.A.LOVE (la la),Fergie,dance pop,2015
364,The Hills,The Weeknd,canadian contemporary r&b,2016
365,Love Yourself,Justin Bieber,canadian pop,2016
366,Cake By The Ocean,DNCE,dance pop,2016
367,Don't Let Me Down,The Chainsmokers,electropop,2016
368,In the Name of Love,Martin Garrix,big room,2016
369,Into You,Ariana Grande,dance pop,2016
370,This Is What You Came For,Calvin Harris,dance pop,2016
371,Million Reasons,Lady Gaga,dance pop,2016
372,Needed Me,Rihanna,barbadian pop,2016
373,7 Years,Lukas Graham,danish pop,2016
374,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016
375,Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016
376,Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016
377,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016
378,Work,Rihanna,barbadian pop,2016
379,Stitches,Shawn Mendes,canadian pop,2016
380,"Me, Myself & I",G-Eazy,hip hop,2016
381,I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016
382,Dangerous Woman,Ariana Grande,dance pop,2016
383,Starving,Hailee Steinfeld,dance pop,2016
384,Shout Out to My Ex,Little Mix,dance pop,2016
385,Electric Love,BØRNS,electropop,2016
386,Confident,Demi Lovato,dance pop,2016
387,Too Good,Drake,canadian hip hop,2016
388,Roses,The Chainsmokers,electropop,2016
389,Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016
390,Me Too,Meghan Trainor,dance pop,2016
391,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016
392,Ain't Your Mama,Jennifer Lopez,dance pop,2016
393,Close,Nick Jonas,dance pop,2016
394,Toothbrush,DNCE,dance pop,2016
395,All We Know,The Chainsmokers,electropop,2016
396,Final Song,MØ,dance pop,2016
397,Company,Justin Bieber,canadian pop,2016
398,Hands To Myself,Selena Gomez,dance pop,2016
399,All I Ask,Adele,british soul,2016
400,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016
401,NO,Meghan Trainor,dance pop,2016
402,Kill Em With Kindness,Selena Gomez,dance pop,2016
403,Cool Girl,Tove Lo,dance pop,2016
404,Runnin' (Lose It All),Naughty Boy,tropical house,2016
405,Here,Alessia Cara,canadian contemporary r&b,2016
406,Perfect Illusion,Lady Gaga,dance pop,2016
407,PILLOWTALK,ZAYN,dance pop,2016
408,Out Of The Woods,Taylor Swift,pop,2016
409,Rise,Katy Perry,dance pop,2016
410,Wherever I Go,OneRepublic,dance pop,2016
411,Body Say,Demi Lovato,dance pop,2016
412,Don't Be A Fool,Shawn Mendes,canadian pop,2016
413,LIKE I WOULD,ZAYN,dance pop,2016
414,Cheap Thrills,Sia,australian dance,2016
415,I Got You,Bebe Rexha,dance pop,2016
416,Run Away With Me,Carly Rae Jepsen,canadian pop,2016
417,Cruel (feat. ZAYN),Snakehips,dance pop,2016
418,Send My Love (To Your New Lover),Adele,british soul,2016
419,WTF (Where They From),Missy Elliott,dance pop,2016
420,Desire,Years & Years,dance pop,2016
421,When We Were Young,Adele,british soul,2016
422,I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016
423,Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,art pop,2016
424,Hurts,Emeli Sandé,dance pop,2016
425,Change,Christina Aguilera,dance pop,2016
426,Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016
427,Keeping Your Head Up,Birdy,neo mellow,2016
428,True Colors,Zedd,complextro,2016
429,Make Me Like You,Gwen Stefani,dance pop,2016
430,Champagne Problems,Nick Jonas,dance pop,2016
431,Blown,DNCE,dance pop,2016
432,Start,John Legend,neo mellow,2016
433,Pep Rally,Missy Elliott,dance pop,2016
434,Higher,Carly Rae Jepsen,canadian pop,2016
435,Invitation,Britney Spears,dance pop,2016
436,One Call Away (feat. Tyga) - Remix,Charlie Puth,dance pop,2016
437,Beautiful Birds (feat. Birdy),Passenger,folk-pop,2016
438,Little Lies,Hilary Duff,dance pop,2016
439,Do You Wanna Come Over?,Britney Spears,dance pop,2016
440,BURNITUP!,Janet Jackson,dance pop,2016
441,Picky - Remix,Joey Montana,latin,2016
442,Behind Your Back,Nelly Furtado,canadian latin,2016
443,Million Years Ago,Adele,british soul,2016
444,Shape of You,Ed Sheeran,pop,2017
445,Closer,The Chainsmokers,electropop,2017
446,Starboy,The Weeknd,canadian contemporary r&b,2017
447,Treat You Better,Shawn Mendes,canadian pop,2017
448,That's What I Like,Bruno Mars,pop,2017
449,Let Me Love You,DJ Snake,electronic trap,2017
450,I Feel It Coming,The Weeknd,canadian contemporary r&b,2017
