ID,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
518,180,44,26,-7,11,10,239,10,4,83
519,100,61,78,-5,13,80,209,11,5,83
520,118,67,59,-6,34,51,238,1,5,82
521,172,64,51,-5,8,38,224,7,5,82
522,103,71,66,-4,8,74,175,3,5,82
523,142,76,52,-3,17,29,181,26,9,82
524,144,64,71,-7,26,89,204,2,23,81
525,96,33,57,-7,9,28,217,42,3,80
526,92,81,65,-4,17,55,211,19,5,80
527,110,60,80,-5,10,42,200,8,6,79
528,105,86,70,-5,2,93,217,2,10,78
529,95,30,59,-7,12,36,260,78,3,78
530,118,75,68,-4,9,61,181,6,3,78
531,88,73,59,-6,31,19,269,5,9,78
532,105,73,74,-5,30,62,189,0,4,77
533,98,67,67,-3,12,63,204,3,7,76
534,103,46,70,-8,5,48,205,0,8,76
535,100,81,66,-6,5,46,219,3,8,76
536,90,58,66,-8,12,45,193,11,5,76
537,86,59,47,-6,13,50,196,3,3,76
538,128,71,77,-6,13,51,212,20,12,75
539,100,60,53,-7,13,32,191,56,12,75
540,121,41,97,-6,8,73,215,19,7,75
541,107,80,63,-4,10,32,215,4,6,74
542,97,63,71,-7,8,37,279,10,8,74
543,129,73,69,-5,11,48,192,28,37,73
544,120,57,52,-5,11,21,341,3,3,72
545,93,81,64,-5,8,91,197,2,33,72
546,168,57,46,-6,10,19,185,24,5,72
547,140,62,77,-5,21,68,191,6,10,72
548,122,62,84,-7,13,74,164,4,8,71
549,90,59,63,-7,10,68,194,20,11,71
550,159,59,65,-6,11,15,245,1,6,70
551,105,72,76,-6,23,47,210,2,8,68
552,95,73,92,-7,12,20,220,0,9,68
553,113,80,54,-5,42,18,243,2,3,67
554,92,69,57,-5,6,32,212,8,12,67
555,104,79,63,-4,16,41,220,5,6,67
556,126,60,66,-5,11,45,191,10,6,67
557,114,59,39,-6,9,19,272,3,6,66
558,120,74,77,-6,9,86,202,5,4,66
559,145,61,53,-7,23,53,195,23,6,65
560,82,44,48,-10,64,62,304,81,24,65
561,112,41,68,-8,12,20,233,70,3,64
562,94,69,73,-4,10,42,221,2,5,64
563,100,87,76,-4,7,90,169,3,5,64
564,100,64,75,-5,11,45,186,25,9,64
565,97,58,75,-6,25,65,294,4,14,62
566,130,69,63,-4,12,25,227,16,9,57
